wkt_geom;Nombre;Linea
PointZ (-99.07088500000000408 19.3842010000000009 0);Del Moral;Línea 2
PointZ (-99.14719399999999894 19.43593999999999866 0);Hidalgo;Línea 3
PointZ (-99.12409999999999854 19.39805399999999835 0);La Viga;Línea 2
PointZ (-99.11701999999999657 19.39826800000000162 0);Coyuya;Línea 2
PointZ (-99.18357199999999807 19.50394500000000164 0);UAM Azcapotzalco;Línea 6
PointZ (-99.19235399999999458 19.51067000000000107 0);De Las Culturas;Línea 6
PointZ (-99.15383800000000747 19.49506999999999834 0);Montevideo;Línea 6
PointZ (-99.16514599999999291 19.49728500000000153 0);Norte 59;Línea 6
PointZ (-99.15859600000000285 19.49597999999999942 0);Norte 45;Línea 6
PointZ (-99.17604099999999789 19.38260100000000108 0);Ciudad de los Deportes;Línea 1
PointZ (-99.182715999999985 19.36198399999999964 0);José María Velasco;Línea 1
PointZ (-99.1755979999999937 19.28376400000000146 0);Santa Úrsula;Línea 1
